ID,name,age,region,experience,hours_per_week,overtime,performance,education,salary
1502,Johnny Weiss,48,Rural,24,53,0,75,Highschool,99601.65
2587,Adrian Moreno,25,Rural,13,34,1,56,Bachelor,81530.62
2654,Anthony Brewer,41,Rural,14,37,1,87,Bachelor,92786.02
1056,Sarah Brock,53,Metro,25,45,1,94,Bachelor,140129.21
706,Sydney Chapman,32,Seoul,6,53,1,74,Highschool,83864.98
107,Kathy Camacho,58,Metro,8,32,1,53,PhD,129600.39
590,Carol Johnson,49,Rural,27,40,1,84,Highschool,103427.72
2469,Richard Rice,48,Seoul,24,52,0,51,Highschool,98839.01
2414,Jeremy Chavez,24,Seoul,30,41,1,69,Master,119457.44
1601,Daniel French,32,Seoul,25,33,0,79,PhD,127437.32
2465,Virginia Houston,39,Rural,23,60,0,85,Master,123478.27
229,Dr. Colleen Wallace,53,Seoul,27,36,0,91,Master,119422.13
916,Brian Carroll,48,Metro,28,55,1,59,Bachelor,126935.95
795,Carolyn Garrison,27,Seoul,6,50,0,61,Bachelor,83401.92
3022,Melanie Aguilar,40,Metro,15,40,0,56,Master,98309.66
3544,Mercedes Fernandez,31,Seoul,9,50,0,67,PhD,99725.03
1074,Teresa Chase,35,Metro,24,49,0,57,Bachelor,93895.11
3352,Timothy Smith,47,Rural,14,37,0,79,Bachelor,98114.26
1745,Shaun Blanchard,59,Seoul,28,56,1,65,Bachelor,133681.01
1085,Jim Bartlett,28,Rural,2,51,0,76,Highschool,63942.88
927,Michael Garza,31,Rural,19,38,0,65,Bachelor,84549.68
3050,Janet Meyer,40,Metro,3,42,0,67,Master,96514.46
1118,Victoria Salazar,38,Metro,13,35,1,66,PhD,107528.76
643,Perry Davis,42,Rural,16,32,0,53,Master,93636.53
4768,Christopher Gallagher,42,Seoul,21,54,1,95,Highschool,116416.88
502,Michael Price,35,Seoul,26,46,1,93,Bachelor,115133.14
4067,Phillip Mann,33,Seoul,9,60,1,78,Highschool,94205.84
334,Michele Castro,49,Metro,29,43,1,86,Bachelor,126385.09
4685,Kimberly Blair,36,Metro,6,37,0,78,PhD,92137.88
487,Christopher Rivera,49,Metro,6,52,1,76,Master,113901.99
1963,Elizabeth Hoffman,42,Metro,11,38,1,70,PhD,115677.28
394,Thomas Scott,47,Seoul,5,55,0,100,PhD,127278.24
4843,Amanda Cochran,57,Metro,22,43,0,78,Bachelor,121900.61
4867,Joan Flores,30,Seoul,9,32,1,86,PhD,113520.7
1756,Paula Page,29,Seoul,0,58,0,66,Bachelor,88080.64
